,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01
MMM,67.71,67.71,67.71,66.42,65.66,65.66,65.66,65.66,65.66,64.21,64.21,64.21,64.21,64.21,63.81,65.84,65.84,65.84,65.84,65.84,65.84,65.84,64.97,65.12,65.12,64.14,64.14,64.54,64.54,64.24,64.24,64.24,64.24,64.24,64.24,34.53,34.53
AOS,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.51,46.87,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.43,47.43,47.33,46.73,46.73,46.73,46.73,46.73,46.73,46.69,46.61,46.61,46.61,46.61,46.61,46.18,25.14
ABT,67.74,67.74,67.74,67.74,67.86,67.06,67.86,67.06,67.06,66.41,66.41,66.41,64.31,64.31,64.31,64.31,64.31,64.31,63.5,63.5,63.5,63.5,63.6,62.57,62.57,62.57,61.87,61.87,61.87,63.07,63.07,63.07,63.07,63.07,63.07,30.62,30.62
ABBV,63.0,63.0,66.13,66.09,66.23,66.23,66.23,66.23,66.23,66.44,66.44,66.44,66.44,66.44,66.47,66.33,66.33,66.33,66.33,66.26,66.26,66.26,64.13,64.13,64.13,64.19,64.19,64.19,64.19,64.19,64.19,65.67,65.67,65.17,65.17,30.35,30.35
ACN,74.58,74.58,74.58,74.58,74.58,74.58,74.58,74.58,74.58,74.18,74.18,74.18,74.18,74.89,74.89,74.89,74.89,74.89,74.89,74.89,74.89,74.76,74.56,74.56,74.56,74.56,74.56,73.76,73.76,73.76,73.76,73.76,73.76,73.71,73.71,15.32,15.32
ATVI,46.86,46.86,46.86,46.86,46.86,46.91,46.86,46.91,46.91,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.44,47.37,47.37,47.35,48.08,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,48.35,49.0,48.65,16.71
ADM,55.96,55.96,57.08,57.08,57.08,57.08,57.08,57.94,57.94,57.34,57.34,57.34,58.04,58.04,58.04,58.04,58.04,58.04,57.14,57.14,57.14,57.14,56.92,57.99,57.99,57.14,56.24,56.24,56.77,56.2,56.2,58.73,58.73,58.73,58.87,58.29,35.39
ADBE,73.25,73.25,73.25,73.25,73.5,73.5,73.5,67.68,67.68,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.67,68.17,68.07,68.25,68.25,68.25,67.03,67.03,67.03,67.03,67.03,69.43,69.43,69.43,69.41,13.44,13.59
ADP,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,52.97,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,53.95,54.93,54.93,54.93,54.93,57.77,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.85,56.75,14.81,14.81
AAP,47.04,47.04,47.04,47.04,47.04,47.04,47.04,47.04,47.04,47.42,47.36,47.36,49.33,49.33,49.33,49.33,49.33,49.33,49.33,49.33,49.33,47.37,47.37,47.37,46.42,46.42,46.42,46.42,46.42,46.42,46.42,46.42,46.42,46.42,46.47,44.92,13.38
AES,68.01,68.01,68.01,66.38,66.92,66.92,66.92,66.06,66.06,64.99,64.99,64.99,64.99,64.99,64.99,64.02,64.02,64.02,64.02,64.02,64.02,63.87,63.97,63.97,63.97,63.97,64.11,64.11,64.11,64.11,64.15,64.15,66.35,66.39,66.14,65.24,33.69
AFL,56.7,56.7,56.7,56.7,57.41,57.41,57.41,57.41,57.41,57.74,57.74,57.74,57.74,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.12,56.25,53.47,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.69,53.89,53.37,24.38
A,66.25,66.25,66.25,66.25,66.39,66.39,66.39,66.39,66.39,65.76,65.76,65.76,65.76,65.76,64.45,65.58,65.58,65.58,65.58,65.58,65.58,65.58,65.42,65.42,65.42,65.42,65.28,66.53,66.53,66.53,66.53,66.53,66.53,66.47,66.47,66.38,17.52
APD,72.05,72.05,72.05,72.08,70.83,70.83,70.83,70.83,70.83,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.28,69.14,69.62,69.62,71.64,71.64,71.64,71.64,72.09,71.14,71.14,71.14,71.14,71.17,71.17,70.35,12.32
AKAM,55.41,55.41,55.41,55.41,56.41,56.41,56.41,56.41,58.12,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,59.29,61.25,61.25,61.25,61.25,61.78,61.78,61.78,61.78,61.78,61.78,61.78,62.28,62.28,62.28,62.28,61.11,61.14,20.94
